,round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4,0,0,0,0,6,6,0,6,4,2,0,0,0,4,0,0,0,16,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,4,8,0,4,8,8,0,0,0,0,0,0,0,2,4,2,0,0,6,2,2,2,2,2,2,3,3,0,4.75,9.750000000000002,0.0,0.0,0.0,13.0,0.0,3.25,0.0,4.75,0.0,16.25,0.0,13.0,3.25,3.25,0.0,3.25,19.0,0.0,0.0,0.0,6.5,3.25,0.0,0.0,0.0,7.124999999999999,0.0,0.0,3.25,3.25,0.0,0.0,0.0,0.0,4.75,0.0,0.0,3.25,9.750000000000002,0.0,0.0,0.0,13.0,0.0,0.0,4.875000000000001,9.750000000000002,6.5,0.0,0.0,0.0,0.0,7.124999999999999,4.875000000000001,0.0,0.0,0.0,0.0,6.5,0.0,3.25,0.0,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
1,1,0.2,0.5,1.3,0.95,1.6,110.75,120.5,112.0,93.625,88.0,107.625,108.25,89.75,4,0,0,0,0,10,0,2,0,4,0,10,0,0,2,0,0,0,6,0,0,0,10,0,0,0,0,6,0,0,0,10,0,0,0,0,16,0,0,0,7,1,0,0,8,0,0,0,4,2,0,0,2,0,6,2,2,1,0,2,2,3,2,4,9.187596703792897,8.42691149909693,0.0,0.0,0.0,22.83331304560506,7.03625,5.340776264298616,0.0,9.829168422636965,0.0,12.362131246237208,0.0,12.339875545605057,6.173693934376882,3.882338764298616,0.0,2.808970499698977,23.779397953040338,0.0,0.0,0.0,5.311137868753764,2.4239012642986157,0.0,19.58125,0.0,12.09110033488862,0.0,0.0,2.655568934376882,5.340776264298616,0.0,0.0,0.0,0.0,20.230596026490065,13.99125,3.518125,5.340776264298616,26.057501128838048,0.0,0.0,0.0,9.607947019867552,0.0,0.0,8.011164396447924,8.06062612883805,9.534190999397953,18.2,0.0,0.0,0.0,13.534636702287779,6.552726896447924,3.599375,0.0,0.0,15.2140625,4.803973509933776,0.0,6.173693934376882,4.2631250000000005,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
2,2,0.2,0.5,1.3,0.95,1.6,116.82484751279353,108.58720791315474,98.3234075857917,103.66869553356413,107.08074729078871,107.67661254515355,119.88218072697171,98.05422994431066,4,0,0,0,0,10,0,2,0,4,0,6,0,0,4,2,0,0,6,2,0,0,4,4,0,8,0,4,0,0,2,2,2,0,0,0,2,8,0,4,9,0,0,0,3,0,0,4,0,4,4,0,0,0,6,2,2,2,0,6,2,2,2,0,12.968379316529655,6.271195483632906,0.0,0.0,3.4801242869506335,33.70169243530395,5.82417580667132,7.572861618694128,0.0,12.494749195384529,0.0,23.6910312426812,0.0,9.701735464841816,12.904087998734303,6.3740668752935505,0.0,2.090398494544302,24.54368507477945,0.0,0.0,0.0,12.191658443544124,1.9885096587028768,0.0,25.235033628712607,3.195510746538231,14.923950656345111,0.0,0.0,2.1996583481454817,13.946386565074324,0.0,0.0,0.0,0.0,20.123152288841823,16.25223804255414,2.91208790333566,7.572861618694128,40.025340599125045,0.0,0.0,0.0,22.22380124081798,0.0,0.0,9.765911191446143,6.5102513835040785,14.168521674879667,19.84211337774933,3.369232604840835,0.0,0.0,19.74812600504385,8.567116448045567,6.703017843124194,3.5290842571775296,6.391021493076462,15.9614368763494,11.11190062040899,6.998979815434982,9.007917125107722,3.5041692499401496,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
3,3,0.2,0.5,1.3,0.95,1.6,121.01842894778261,116.36567077693542,92.01425167157076,110.70053994481577,98.06033985342576,123.21505303138917,123.40536149406336,114.40752728061943,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,6,0,0,0,6,4,0,0,0,16,0,0,0,0,2,0,0,0,2,8,0,4,8,0,0,0,8,0,0,0,0,2,4,2,0,0,6,2,0,2,3,3,3,3,2,0,16.075063822012485,5.080100156055375,0.0,0.0,5.798378062969441,44.2480167045581,4.622356212501734,6.40856829905348,0.0,15.645527038874498,0.0,19.15411849710561,0.0,8.12769502556056,14.253323820508712,9.110638519056513,0.0,1.693366718685125,25.203790116494115,0.0,0.0,0.0,17.698296167511536,7.256239023888519,0.0,35.55820282555122,2.422389297991147,33.10095161260236,0.0,0.0,5.756150453253694,17.380630047705605,3.933098940802935,0.0,0.0,0.0,17.371195463121655,29.627295414079082,2.311178106250867,11.985935253983678,47.604925339973434,0.0,0.0,0.0,29.424977255215687,0.0,0.0,13.841545705079936,5.183422665478466,19.038710673468728,24.05941208227886,2.72423955431535,0.0,0.0,24.466868955014544,10.966248970152773,9.270920323059581,2.8586253647769646,10.825704954634395,12.909445198706933,14.712488627607843,5.86391756735886,11.160326190006636,2.970355987034593,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
4,4,0.2,0.5,1.3,0.95,1.6,123.19248325715063,107.25130290110589,92.8116920265793,135.17832423710405,106.18870317823823,131.83144830026907,127.39890290070873,111.53178421318582,4,0,0,0,2,8,0,2,0,4,0,6,0,0,6,0,0,0,6,0,0,0,6,4,0,10,0,6,0,0,0,0,2,0,0,0,2,8,0,4,8,0,0,0,8,0,0,0,0,2,4,2,0,0,6,2,4,0,3,0,3,0,2,4,18.57314932434845,3.8284264111473245,0.0,0.0,8.182064683304151,53.054399651656404,3.683491455498347,12.20702409607906,0.0,16.902184309251425,0.0,38.62550106948987,0.0,6.59891602534621,15.499572622524905,7.053253467136702,0.0,1.2761421370491082,26.491486630697985,0.0,0.0,0.0,22.385490681313847,11.059337391648171,0.0,37.308263880925324,1.9101152141496376,38.42890471775989,0.0,0.0,8.727663786538113,13.45178111440866,7.116522709368704,0.0,0.0,0.0,16.701676310759176,41.18317760797724,1.8417457277491736,14.716286174398471,53.68941986087606,0.0,0.0,0.0,37.8086313271233,0.0,0.0,10.714673400015904,4.100668203789392,24.820138368494604,28.024745326117554,2.3708553749197248,0.0,0.0,28.575615034582594,12.113598160075481,11.341054873291073,2.154943735100018,14.565082768666764,11.258520003676502,18.90431566356165,4.761063538659527,13.034491068406094,7.593272625389957,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
5,5,0.2,0.5,1.3,0.95,1.6,132.29655562203374,117.44742749374913,93.98045684070911,132.59472871378162,114.32740853025277,134.98072458801525,132.77362046797936,116.38074427675159,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,6,0,0,0,6,4,0,10,0,6,0,0,0,0,4,0,0,0,4,8,0,0,8,0,0,0,8,0,0,0,0,2,4,2,0,0,6,2,2,0,2,0,2,0,2,8,21.36835840885255,3.137191720960056,0.0,0.0,14.084753161911786,59.609769994959876,2.9468936867414017,13.554402632917755,0.0,19.42793068928217,0.0,51.50686618760679,0.0,5.230308964913736,16.715215479798502,5.646257710152046,0.0,1.045730573653352,27.60853889370249,0.0,0.0,0.0,26.539276655231784,12.635517584833183,0.0,45.8313076515842,1.5079750288329699,39.22890427594066,0.0,0.0,11.297508018803988,10.76845835307777,10.079261227982245,0.0,0.0,0.0,19.015643677469374,50.20091598899354,1.4734468433707009,15.56304669154306,60.801773667895624,0.0,0.0,0.0,45.604833337015066,0.0,0.0,8.577309324228997,3.331865806873939,27.976893835627326,31.28353588583468,1.8359208414733932,0.0,0.0,32.32137902870137,13.479556492695545,13.509833817800784,1.7656443110176625,17.599614178667128,8.711362746731702,15.371135114041103,3.773565311318954,14.743085170986596,17.1348041073692,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
6,6,0.2,0.5,1.3,0.95,1.6,140.91576960634345,124.74097903175324,94.04346370742083,134.8485533282396,122.54671442935894,141.1983163291397,136.44355189120625,118.82344475793315,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,8,0,0,0,6,2,0,10,0,6,0,0,0,0,2,0,0,0,2,8,0,4,8,0,0,0,8,0,0,0,0,4,4,0,0,0,6,2,4,0,2,0,0,4,2,4,23.998396112543098,2.5361931215883353,0.0,0.0,15.425433740165053,66.1894617713358,2.343447350324762,18.468464725898976,0.0,21.631719485012606,0.0,62.66549891856833,0.0,4.197497871618672,22.16281005333773,4.476382886131859,0.0,0.8453977071961118,30.630458669514937,0.0,0.0,0.0,29.976144576598124,13.87977159742717,0.0,53.266924208118965,1.1856185390112999,40.63823627297406,0.0,0.0,8.98505819842278,8.536592329385318,12.742115984762888,0.0,0.0,0.0,18.362463362591534,58.63846198450923,1.171723675162381,12.338136203734749,67.55809652723079,0.0,0.0,0.0,52.98017146153572,0.0,0.0,14.523456139894545,2.699345493743827,30.72806536936958,33.74925352372445,1.451672797157955,0.0,0.0,35.42724499681931,14.547997246173923,15.52017340364997,1.4273206374629648,16.877846417360463,6.886119644663951,20.453264017004702,3.0284286706666848,16.159795963461445,19.227394606047774,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
7,7,0.2,0.5,1.3,0.95,1.6,149.93291682185603,136.1054292146692,96.30329255073636,133.58394954791243,124.2244212107608,156.03324412866104,139.57509942698906,120.55186336031797,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,8,0,0,0,6,2,0,12,0,4,0,0,0,0,4,0,0,0,2,8,0,2,7,0,0,0,7,0,0,2,0,4,4,0,0,0,6,2,0,-2,0,0,4,-2,0,8,26.52434837357512,2.076210836623082,0.0,0.0,20.243743739947593,72.31620868661253,1.857185983929676,14.579267184711009,0.0,24.17509086817275,0.0,74.94766703849689,0.0,3.4645390565402963,26.639512690433946,3.534296286643375,0.0,0.6920702788743603,33.45177008517102,0.0,0.0,0.0,32.83282842026741,10.958689758803512,0.0,61.30087066324535,0.9410951446801414,38.04242068345712,0.0,0.0,7.121908721798302,6.739193913572731,15.174412984647727,0.0,0.0,0.0,17.433677492491253,66.08311027137151,0.928592991964838,17.576975979852502,74.11126179374455,0.0,0.0,0.0,57.946525654102544,0.0,0.0,6.643435916026098,2.1832755389154896,34.00763995078178,36.16585640559889,1.1311956637052718,0.0,0.0,38.02559271229295,11.485197898030274,17.420479847895354,1.1683181503425164,16.518798517242384,5.362331944174603,20.17352019027426,7.570821510691824,17.345007202098543,31.45302748177285,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
8,8,0.2,0.5,1.3,0.95,1.6,154.37418080539902,149.53832194028726,94.71257454311632,130.92270512675367,133.97398572032785,155.4784393638732,139.77597416932468,133.78952084449236,4,0,0,0,2,8,0,2,0,6,0,8,0,0,2,0,0,0,16,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,0,0,2,8,0,4,8,0,0,0,8,0,0,0,0,4,4,0,0,0,6,2,2,0,2,0,0,0,5,7,28.503154136548304,1.7134384643302145,0.0,0.0,20.895116980050094,76.97329861479284,1.4619698556707101,16.430682367054697,0.0,30.60497621677888,0.0,83.9471237868277,0.0,2.716782274960183,30.06093982677916,2.927785108085498,0.0,0.571146154776738,44.13002514742254,0.0,0.0,0.0,34.937981741461215,13.426225543316658,0.0,70.02439691489678,0.7364571772708769,35.863915406491586,0.0,0.0,5.60802684251741,5.584462279177484,17.128694405126446,0.0,0.0,0.0,17.430344433392523,72.08581842071352,0.7309849278353551,14.567736638782442,79.22049655233359,0.0,0.0,0.0,64.76282857686303,0.0,0.0,5.502516821196974,1.7423992645183841,32.928482439599094,28.253004637130815,0.8806566117686391,0.0,0.0,39.899946943009994,20.386976203682615,18.921358338588327,0.9640354851468111,12.902024517577667,4.17171082166195,25.191227353357874,5.942733053387683,18.199975798565966,37.19478141855587,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
9,9,0.2,0.5,1.3,0.95,1.6,159.39943321844686,163.67938001343143,106.48715138697716,131.23903142035414,135.3653516258503,162.90761475039358,137.51323889970956,136.90961958684215,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,6,0,2,0,4,4,0,12,0,4,0,0,0,0,4,0,0,0,4,8,0,0,8,0,0,0,8,0,0,0,0,4,2,2,0,0,6,2,6,0,0,0,6,0,2,2,30.319350568847547,1.4101805772719018,0.0,0.0,25.292935387276586,83.06549636534146,1.1396142225598889,26.402304898736155,0.0,32.95192990417732,0.0,91.65180503142551,0.0,2.1849032376464415,32.37566186367075,2.3261349658608963,0.0,0.47006019242396735,44.30584810077215,0.0,0.0,0.0,31.710325008077426,10.6673709914333,0.0,78.8858626837288,0.6104371977377604,34.455722188968494,0.0,0.0,8.842830784167742,4.436600654164654,18.8506930510703,0.0,3.4608324200767577,0.0,20.187131838451492,79.13479627747557,0.5698071112799444,24.921703497051645,83.94645710617229,0.0,0.0,0.0,68.7215219869879,0.0,0.0,4.371900528743193,1.3904158411169363,37.736989488810394,30.404624473165878,0.692658789370577,0.0,0.0,40.907496369385356,20.647186229833135,20.281346863225128,0.7933074859808427,17.64880822272713,3.2796695703021315,19.886563502575097,4.778025634330317,18.659559747438934,32.80065592796519,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
10,10,0.2,0.5,1.3,0.95,1.6,178.36730026003355,172.22785324278092,97.89102253270686,137.96887174876747,157.86238243540572,167.77729786190338,142.5167894316823,128.86535519454478,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,16,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,0,0,2,8,0,4,8,0,0,0,8,0,0,0,0,4,2,2,0,0,6,2,6,0,0,0,6,0,4,0,33.60415737376111,1.1328570531539175,0.0,0.0,26.55105709712336,87.80697029025322,0.9084484564137796,32.64191611124761,0.0,34.64945114107873,0.0,100.46875914905782,0.0,1.7352406304611834,35.071558568690946,1.7691682049081259,0.0,0.37761901771797246,51.92984915107742,0.0,0.0,0.0,29.910099772668588,8.11428189109241,0.0,85.75444112980932,0.46201533182388677,34.20919588871487,0.0,0.0,11.680663712056647,3.3727389775384204,21.421003178867593,0.0,2.6031774088996333,0.0,20.852453213322807,84.68530026621164,0.4542242282068898,31.513044964826857,92.77086732917063,0.0,0.0,0.0,78.71789197859208,0.0,0.0,3.325859928491482,1.154580761190506,41.50780956131078,22.902579225610673,0.5559964585455494,0.0,0.0,42.76369903911635,24.080459442111174,22.607457949369543,0.6372848494935965,13.2860241602831,2.6328254665137942,27.10026023212282,3.7960794197011363,19.506248684509213,24.933688020068548,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
11,11,0.2,0.5,1.3,0.95,1.6,191.23534097395304,182.28411228619683,98.9217844245564,144.06898963194317,170.11913785233543,183.40455382825417,141.55505907988504,123.08980337406174,4,0,0,0,2,8,0,2,0,4,0,8,0,0,4,0,0,0,8,0,0,0,6,2,0,10,0,4,0,0,2,0,4,0,0,0,2,6,0,4,8,0,0,0,8,0,0,0,0,4,2,2,0,0,6,2,6,0,0,0,6,0,4,0,36.350697059332255,0.9133538276316293,0.0,0.0,32.6648674897736,95.77178208569103,0.7100282031243547,37.04492313801519,0.0,36.586108999593655,0.0,103.8219351665438,0.0,1.4233787241838294,36.60315589596451,1.3586248291220917,0.0,0.30445127587720977,50.3171649849197,0.0,0.0,0.0,27.9757117515635,6.232036914110677,0.0,92.81448685539763,0.3647436792580936,34.22272178725344,0.0,0.0,13.725230982847656,2.5890604910980657,23.59594656125855,0.0,2.0519471783084455,0.0,21.01178351408755,93.21093741157989,0.35501410156217733,36.17620201021049,100.13660704300759,0.0,0.0,0.0,80.64178954859517,0.0,0.0,2.5545745161389406,0.937641345437386,45.3047290367916,27.70420724412836,5.127238420117022,0.0,0.0,43.50039455094755,26.4794277525343,24.558982451765747,0.5137857776248101,13.689772013820674,2.107228419828098,33.10734340649592,3.1099471387165343,19.84228523376555,19.139117937867777,Bot,Bot,Bot,Bot,Bot,Human,Human,Bot
