round,alpha,beta,give,keep,steal,p0,p1,p2,p3,p4,p5,p6,p7,0-T-0,0-T-1,0-T-2,0-T-3,0-T-4,0-T-5,0-T-6,0-T-7,1-T-0,1-T-1,1-T-2,1-T-3,1-T-4,1-T-5,1-T-6,1-T-7,2-T-0,2-T-1,2-T-2,2-T-3,2-T-4,2-T-5,2-T-6,2-T-7,3-T-0,3-T-1,3-T-2,3-T-3,3-T-4,3-T-5,3-T-6,3-T-7,4-T-0,4-T-1,4-T-2,4-T-3,4-T-4,4-T-5,4-T-6,4-T-7,5-T-0,5-T-1,5-T-2,5-T-3,5-T-4,5-T-5,5-T-6,5-T-7,6-T-0,6-T-1,6-T-2,6-T-3,6-T-4,6-T-5,6-T-6,6-T-7,7-T-0,7-T-1,7-T-2,7-T-3,7-T-4,7-T-5,7-T-6,7-T-7,0-I-0,0-I-1,0-I-2,0-I-3,0-I-4,0-I-5,0-I-6,0-I-7,1-I-0,1-I-1,1-I-2,1-I-3,1-I-4,1-I-5,1-I-6,1-I-7,2-I-0,2-I-1,2-I-2,2-I-3,2-I-4,2-I-5,2-I-6,2-I-7,3-I-0,3-I-1,3-I-2,3-I-3,3-I-4,3-I-5,3-I-6,3-I-7,4-I-0,4-I-1,4-I-2,4-I-3,4-I-4,4-I-5,4-I-6,4-I-7,5-I-0,5-I-1,5-I-2,5-I-3,5-I-4,5-I-5,5-I-6,5-I-7,6-I-0,6-I-1,6-I-2,6-I-3,6-I-4,6-I-5,6-I-6,6-I-7,7-I-0,7-I-1,7-I-2,7-I-3,7-I-4,7-I-5,7-I-6,7-I-7,pid0,pid1,pid2,pid3,pid4,pid5,pid6,pid7
0,0.2,0.5,1.3,0.95,1.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human,Human,Bot,Human,Human,Bot,Human,Human
1,0.2,0.5,1.3,0.95,1.6,103.5,101.125,97.75,117.375,105.3125,132.625,94.625,86.5,2.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.375,6.5,0.0,13.0,1.625,0.0,0.0,0.0,6.5,0.0,0.0,13.0,1.625,0.0,0.0,0.0,6.5,1.625,4.75,0.0,1.625,3.25,0.0,0.0,3.25,6.5,0.0,0.0,1.625,0.0,26.0,0.0,3.25,1.625,0.0,0.0,10.6875,9.750000000000002,0.0,0.0,3.25,1.625,13.0,0.0,1.625,7.124999999999999,0.0,26.0,0.0,6.5,3.25,0.0,1.625,3.25,0.0,0.0,0.0,1.625,3.25,0.0,1.625,0.0,0.0,0.0,Human,Human,Bot,Human,Human,Bot,Human,Human
2,0.2,0.5,1.3,0.95,1.6,127.60257191388499,99.53402292815366,89.30409048785486,160.72465457585128,92.76549498570338,143.70312603615605,87.31081236960735,82.02264452630209,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.8877542657030029,14.96728007879443,19.06125,18.6504613572014,4.725513712186126,4.3103125,0.0,0.0,5.1664853587661135,0.0,3.1768750000000003,22.465148857201402,4.725513712186126,0.0,0.0,0.0,5.1664853587661135,1.276898144698607,5.99287611299456,0.0,1.3028574621861262,11.564973409209449,0.0,0.0,29.49324267938306,21.54040507879443,0.0,0.0,1.3028574621861262,0.0,44.38814935548767,0.0,2.5832426793830567,1.276898144698607,0.0,0.0,16.07230893399337,8.833045227628345,0.0,0.0,2.5832426793830567,1.276898144698607,10.047805677669324,0.0,11.570826212186127,12.75460516634379,0.0,41.46974815587512,0.0,5.107592578794428,2.511951419417331,11.444062500000001,1.3028574621861262,2.9443484092094483,0.0,0.0,0.0,1.276898144698607,2.511951419417331,0.0,1.3028574621861262,12.930937500000002,0.0,0.0,Human,Human,Bot,Human,Human,Bot,Human,Human
3,0.2,0.5,1.3,0.95,1.6,143.7201266590763,126.90470800814865,77.7947486130767,161.00273253069244,88.26226522380438,157.17999085216505,94.34786450809428,74.86472665780754,0.0,4.0,0.0,8.0,2.0,2.0,0.0,0.0,2.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.6386548875708247,14.822210171532468,31.65617910161336,32.91015842203006,7.9940793214723875,3.4988447548572,0.0,0.0,12.778906866701625,8.273765655902773,8.178412791124178,33.8091917767726,7.9940793214723875,4.670351596175072,0.0,0.0,4.4847396922991,2.606371037441024,4.484461073187786,0.0,0.9570540196055801,14.062122790543203,0.0,0.0,42.20173990212108,24.762214967235536,0.0,0.0,0.9570540196055801,0.0,41.881723641730225,0.0,6.389453433350813,2.606371037441024,0.0,0.0,16.21384410287625,11.852596650136267,0.0,0.0,6.389453433350813,0.9889431648585266,7.525968065686719,0.0,17.545812044652962,20.60110760353136,0.0,52.92870654008465,0.0,3.9557726594341065,1.8814920164216797,23.591305159088293,0.9570540196055801,2.394081684653732,10.368158968890874,0.0,0.0,0.9889431648585266,1.8814920164216797,0.0,0.9570540196055801,19.837237456921745,0.0,0.0,Human,Human,Bot,Human,Human,Bot,Human,Human
4,0.2,0.5,1.3,0.95,1.6,154.88678371789578,148.5628434291054,95.14573967218799,176.05323171002564,94.96441443255428,140.36114603783892,83.26605681103989,74.70931595511962,2.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77784253524005,23.422661941897235,25.79816716314247,46.64636175368514,10.41860970756121,2.8631406163696593,0.0,0.0,19.96435386441999,7.341369797959185,8.533929073898374,39.493436123354726,8.984347897674388,3.8205777407687687,0.0,19.464828931029963,3.7343923899222826,6.432596538408504,14.400303501837737,0.0,0.7338704446005413,16.619354411366654,12.265222386052258,0.0,53.792512997529585,34.28978864122486,0.0,0.0,0.7338704446005413,0.0,46.277059626670656,0.0,9.982176932209995,6.432596538408504,0.0,0.0,17.65992661028668,19.9297143516491,0.0,0.0,5.311272815790016,2.935240035178804,5.569379259099887,0.0,17.729043860584824,28.0655582539925,0.0,39.790651813192895,0.0,3.4921541201855555,1.3923448147749717,26.294125657046017,0.7338704446005413,1.9641457351632008,8.429416039269597,0.0,0.0,0.8730385300463889,1.3923448147749717,0.0,5.036655874261005,26.447276736037246,0.0,0.0,Human,Human,Bot,Human,Human,Bot,Human,Human
5,0.2,0.5,1.3,0.95,1.6,171.94690888320991,181.96894975993064,88.85823681795961,183.4255551418431,99.51933249124576,131.65104079370232,84.75832917908184,76.25972425894827,1.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,8.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.718405539209254,31.95235981896991,25.268503731121477,61.052272694568,13.071922674359048,2.1154444249821895,0.0,0.0,28.794034748663194,8.016610599540783,13.538723663556802,49.48858872316824,11.908926995969718,2.8261076735097888,0.0,34.62795735552212,3.035299478072023,7.871396764444912,12.445204840613773,0.0,0.5940049995251356,12.280069461901233,19.864261273402533,0.0,63.824134455951054,41.190964558339566,0.0,0.0,0.5940049995251356,0.0,45.04845112802734,0.0,13.138562256623695,7.871396764444912,3.0922365393461098,0.0,18.815666326960148,23.83347060387088,0.0,0.0,4.3141152329049195,2.4882010712224556,4.756029958918421,0.0,22.07857538782152,34.07239283627638,0.0,31.173726306558617,0.0,2.965722054570775,13.557953647114044,27.230781158548588,0.5940049995251356,1.4377425610474348,6.204124758275861,0.0,0.0,7.983869130811584,1.1890074897296052,0.0,5.6261637692221305,28.69268386918494,0.0,0.0,Human,Human,Bot,Human,Human,Bot,Human,Human
6,0.2,0.5,1.3,0.95,1.6,178.97709277381247,183.4420110148948,111.02412685487928,171.9213383240974,104.06532339874904,125.83098821743891,73.03432671099206,100.06819882223326,0.0,5.0,1.0,8.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,5.0,2.0,0.0,0.0,3.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,4.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,4.7047770094557,39.61009706426731,19.11310234847126,72.4412087555386,15.289001599093687,1.6045059969859186,0.0,0.0,37.65814444960679,7.002678864521295,13.110958131506168,57.27331450067049,12.743272842836674,2.1452937326688875,0.0,27.293948493084493,5.297578996790213,12.758105853817948,22.039358465365158,0.0,0.4743809055930226,9.31451854932279,34.92578408399015,0.0,74.88724463436873,50.638182047645955,0.0,2.1781784673093867,0.4743809055930226,0.0,38.263552929206895,-20.734600660026587,16.397471597011712,12.758105853817948,2.3348392777725624,0.0,19.7515166050569,26.608990065089912,0.0,0.0,3.553738028118996,2.165334882660488,3.616669029978978,0.0,27.33245495101934,38.325733383632766,0.0,24.622657942028333,0.0,2.587284599441013,13.13141706516868,24.65540766821335,0.4743809055930226,1.0831663072152453,4.888270165360748,0.0,0.0,15.787433158200479,0.9041672574947445,0.0,6.109294879440606,30.31830286707082,0.0,20.734600660026587,Human,Human,Bot,Human,Human,Bot,Human,Human
7,0.2,0.5,1.3,0.95,1.6,191.33082693321552,188.21053888010704,131.74354340130301,182.24999728727482,91.16082010850552,121.42438001943655,69.06036954529401,101.04039658561946,0.0,4.0,1.0,10.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,-6.0,4.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.785960409108727,49.21455174944818,16.778936758714575,72.06829056817747,19.090253908479923,9.421313539286654,0.0,0.0,41.93322091467098,7.7112176395760414,15.165262017551331,54.88360547581656,17.037534373385505,5.751392346853167,0.0,24.756786112253423,7.17167566889653,13.07406643682314,30.04369033998789,0.0,0.38213244295720594,15.391052670405458,44.7094058422328,0.0,89.34409920588209,60.91345716710868,0.0,1.664548356328197,0.38213244295720594,0.0,28.37453083251494,-19.400290717516306,16.10200873802309,13.07406643682314,2.055600039067414,0.0,18.39258377705817,20.565041117533692,0.0,0.0,2.8604297396841747,1.711718328652081,3.1475423335500694,0.0,32.18065958223688,38.591555900059475,0.0,21.960954135253875,0.0,2.044582868687101,22.391340892855883,18.816404878672653,0.38213244295720594,0.8350176413656198,3.619370820755534,0.0,0.0,12.494152358320514,0.7868855833875174,0.0,4.925818811488185,23.448771338682604,0.0,38.413248493740625,Human,Human,Bot,Human,Human,Bot,Human,Human
8,0.2,0.5,1.3,0.95,1.6,230.84194099318253,166.72920997685793,145.4187278399855,188.12853214922515,82.28122996316492,109.17994636362334,78.3525463457089,85.36830235041896,0.0,4.0,0.0,6.0,0.0,0.0,0.0,-6.0,5.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,8.0,0.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.055038368446812,54.652085895214896,18.759077220020714,82.26893242250901,17.121977567988722,15.207613519002354,0.0,0.0,46.69630326915534,8.402010395528427,17.39550263563687,62.38248355186781,15.601682818906736,8.415403163020862,0.0,-8.941391857258115,5.861328645582907,13.514593190300774,32.2714282605335,0.0,4.729948505457984,19.8598889840282,52.404324254082134,0.0,91.66513718328943,67.06673858041341,0.0,5.680789031094144,0.28585852516833915,0.0,21.97468939643892,-15.321896567179117,13.157203709209032,16.573014447102516,1.7774469570362748,0.0,17.99419071983946,16.002158129977623,0.0,0.0,2.34078337183913,4.427358946295589,2.6980870651132154,0.0,26.840564036429768,38.665117333602296,0.0,17.430819610343327,0.0,1.6351294804311693,36.466546525485455,15.29423977090918,4.729948505457984,0.648381118875859,2.8010849445492485,0.0,-22.959699231985866,9.992434311802787,0.6745217662783038,0.0,3.650744979814754,18.256987663541135,0.0,58.976096860967836,Human,Human,Bot,Human,Human,Bot,Human,Human
9,0.2,0.5,1.3,0.95,1.6,211.2003783273619,198.55958422571464,132.50092613945665,218.30219976342877,67.54160265734484,107.7007346081298,101.84715126732735,71.55852858391702,2.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,8.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,4.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3821826957341,49.07363125416925,15.752540755870008,91.015868948115,13.024299907897234,18.614261077983024,0.0,-18.08417911240677,59.890857967459766,14.190398840147765,14.621373818553208,68.8150666965392,17.216347762708093,17.024377080551,0.0,-6.620610740244425,5.176917425086632,12.83560106551031,34.056741504059595,0.0,7.5973578987832076,15.070356668124555,44.34217877789236,0.0,114.5902894702391,66.48072120901324,0.0,12.120924272564107,4.230125606512068,0.0,18.41958969316828,-10.96122328806807,11.610150021238416,15.132653628883617,1.49574498411055,0.0,13.695196829278135,12.186084393834125,0.0,0.0,2.078960074775384,6.025574716909864,11.710603994528814,0.0,24.4393029704261,37.15696610162715,0.0,12.867553949862478,0.0,1.2147663046107593,49.510399567649685,12.373789235197812,7.5973578987832076,0.4918376445813235,17.237227816504543,0.0,-20.161479935659678,7.491877604882977,0.5645966712324387,-7.525141285969006,2.777869094700836,13.918575724981,0.0,61.07045790974844,Human,Human,Bot,Human,Human,Bot,Human,Human
10,0.2,0.5,1.3,0.95,1.6,249.33957294871422,207.32584328726986,139.7026622631991,224.72237585242203,89.37022331892031,106.16985507728255,103.87996923690497,31.68697489665179,0.0,3.0,0.0,8.0,0.0,0.0,0.0,-5.0,5.0,3.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,10.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,42.55119711597155,58.581989564341995,11.851819686051279,109.73579913828476,10.624128943147085,18.15178615929479,0.0,-12.894565898377264,55.50521712423533,19.383130551834455,10.987460250514744,83.67325389453987,14.735389155964665,16.897168590195133,0.0,-4.5931945200143085,3.89316353191769,11.102864219412425,28.753823943455156,0.0,6.598487210037041,11.87525978971105,66.74164532866573,0.0,113.90699606924389,76.8978691835818,0.0,10.359129716415143,4.154067115788551,0.0,16.398057803646612,-7.731162276254,8.73605039294236,16.309953124782524,1.122320077092805,0.0,17.246166239039937,16.613097813244245,0.0,18.605217431818428,1.5581221819391189,8.44265647629037,17.473445335244556,0.0,18.949408441729833,39.50744973242847,0.0,9.50135466965018,0.0,1.0608908881663548,58.88346829693671,10.580188000770915,6.598487210037041,0.38752108284996833,15.631995518143965,0.0,-36.33602512681259,6.472660032991543,0.42653270965346385,-6.430747469787926,2.0330203631167265,10.982739645916494,0.0,43.80137650157407,Human,Human,Bot,Human,Human,Bot,Human,Human
11,0.2,0.5,1.3,0.95,1.6,259.4670730107249,220.4736044216467,142.37472872583368,250.12621866657878,92.38416329289072,97.55483515997224,112.74470824476028,16.83218141506516,0.0,4.0,0.0,10.0,0.0,0.0,0.0,-2.0,4.0,3.0,0.0,6.0,1.0,1.0,0.0,-1.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39.20551585987784,60.46824706331894,9.556161319047886,123.89160894578323,9.421359324230187,14.171340295129708,0.0,-5.837094388662924,63.71813960814306,24.103921645271136,8.860633434508264,88.5325121652879,16.04038959997104,13.187732056774113,0.0,-2.5596586803088073,3.3483019763913355,8.906604754161252,43.09274763724052,0.0,5.9171384679518475,19.641466561508672,52.87853473658003,0.0,138.05716734083964,81.89965115129384,0.0,9.050242201263286,3.7376572711209564,0.0,13.006245834607174,-4.214679724546109,7.508459186535707,16.452187024026916,0.9052523942165078,0.0,24.972858125301734,23.34088662266489,0.0,10.614585348144955,1.3453690078238048,10.141401289757498,14.081034302220377,0.0,24.06739829302622,33.39638221468283,0.0,5.933315460461498,0.0,0.8513083799173198,56.541452960528986,8.423315149888625,5.9171384679518475,0.3031057182695597,32.11845297620393,0.0,-33.89323063176238,4.023242567078018,0.3437300485222458,-5.922629135011679,1.7963963100801021,12.059989113544182,0.0,29.83474855061466,Human,Human,Bot,Human,Human,Bot,Human,Human
